ein,entity_id,vault_name,vault_url,profile_path,irs_filer_name,has_990_filings,filing_years,in_vault
611602482,ent_000247,IBEW - International Brotherhood of Electrical Workers,https://thedonormap.org/Donors%20&%20Power%20Networks/Labor%20Unions/IBEW%20-%20International%20Brotherhood%20of%20Electrical%20Workers,content/Donors & Power Networks/Labor Unions/IBEW - International Brotherhood of Electrical Workers.md,,false,,true
940362021,ent_000248,IBEW California State Association,https://thedonormap.org/Donors%20&%20Power%20Networks/Labor%20Unions/IBEW%20California%20State%20Association,content/Donors & Power Networks/Labor Unions/IBEW California State Association.md,CALIFORNIA STATE EMPLOYEES ASSOCIATION,true,2018|2019|2020|2022|2023|2024,true
812607816,ent_000250,IBEW Local 477 - San Bernardino,https://thedonormap.org/Donors%20&%20Power%20Networks/Labor%20Unions/IBEW%20Local%20477%20-%20San%20Bernardino,content/Donors & Power Networks/Labor Unions/IBEW Local 477 - San Bernardino.md,SAN BERNARDINO FATHERHOOD,true,2021|2022|2023,true
884013706,ent_000095,Illinois Future PAC,https://thedonormap.org/Donors%20&%20Power%20Networks/Super%20PACs/Illinois%20Future%20PAC,content/Donors & Power Networks/Super PACs/Illinois Future PAC.md,,false,,true
262048480,ent_001518,ImpactAssets,https://thedonormap.org/Donors%20&%20Power%20Networks/Wall%20Street/ImpactAssets,content/Donors & Power Networks/Wall Street/ImpactAssets.md,IMPACTASSETSINC,true,2020|2022,true
852619691,ent_001505,InfluenceMap,https://thedonormap.org/Think%20Tanks%20&%20Policy%20Infrastructure/Liberal/InfluenceMap,content/Think Tanks & Policy Infrastructure/Liberal/InfluenceMap.md,INFLUENCEMAP INC,true,2021|2023|2024|2025,true
201240972,ent_000284,Insurance Industry,https://thedonormap.org/Donors%20&%20Power%20Networks/Healthcare/Insurance%20Industry,content/Donors & Power Networks/Healthcare/Insurance Industry.md,INSURANCE INDUSTRY CHARITABLE,true,2018|2019|2020|2021|2022|2023,true
530227813,ent_000237,International Association of Chiefs of Police,https://thedonormap.org/Donors%20&%20Power%20Networks/Law%20Enforcement/International%20Association%20of%20Chiefs%20of%20Police,content/Donors & Power Networks/Law Enforcement/International Association of Chiefs of Police.md,INTERNATIONAL ASSOCIATION OF CHIEFS OF,true,2018|2019|2020|2021|2022|2023|2024,true
261507828,ent_000265,J Street,https://thedonormap.org/Donors%20&%20Power%20Networks/Israel%20Lobby/J%20Street,content/Donors & Power Networks/Israel Lobby/J Street.md,J STREET,true,2018|2019|2020|2022|2023|2024,true
300039820,ent_001490,JB Pritzker - Donor Network,https://thedonormap.org/Politicians/Democrats/Governors/JB%20Pritzker/JB%20Pritzker%20-%20Donor%20Network,content/Politicians/Democrats/Governors/JB Pritzker/JB Pritzker - Donor Network.md,PRITZKER FAMILY FOUNDATION,true,2020|2022|2023,true
510647928,ent_000266,JCRC Bay Area,https://thedonormap.org/Donors%20&%20Power%20Networks/Israel%20Lobby/JCRC%20Bay%20Area,content/Donors & Power Networks/Israel Lobby/JCRC Bay Area.md,Bay Area Young Survivors,true,2018|2019|2020|2021|2022|2023|2024,true
954513461,ent_000180,Jeffrey Katzenberg,https://thedonormap.org/Donors%20&%20Power%20Networks/Mega-Donors/Jeffrey%20Katzenberg,content/Donors & Power Networks/Mega-Donors/Jeffrey Katzenberg.md,THE MARILYN AND JEFFREY KATZENBERG,true,2018|2019|2020|2022|2023|2024,true
821919054,ent_000267,Jewish Democratic Council of America,https://thedonormap.org/Donors%20&%20Power%20Networks/Israel%20Lobby/Jewish%20Democratic%20Council%20of%20America,content/Donors & Power Networks/Israel Lobby/Jewish Democratic Council of America.md,JEWISH DEMOCRATIC COUNCIL OF AMERICA,true,2018|2019|2020|2022|2023,true
366051024,ent_000449,John Deere,https://thedonormap.org/Donors%20&%20Power%20Networks/Agriculture/John%20Deere,content/Donors & Power Networks/Agriculture/John Deere.md,John Deere Foundation,true,2020|2021|2022|2023|2024,true
760552018,ent_000144,Johnson & Johnson,https://thedonormap.org/Donors%20&%20Power%20Networks/Pharma%20&%20Healthcare/Johnson%20&%20Johnson,content/Donors & Power Networks/Pharma & Healthcare/Johnson & Johnson.md,JOHNSON &amp; JOHNSON ACTIVITIES INC,true,2020|2021|2022|2023|2024,true
680028695,ent_000268,JPAC - Jewish Public Affairs Committee of California,https://thedonormap.org/Donors%20&%20Power%20Networks/Israel%20Lobby/JPAC%20-%20Jewish%20Public%20Affairs%20Committee%20of%20California,content/Donors & Power Networks/Israel Lobby/JPAC - Jewish Public Affairs Committee of California.md,JEWISH PUBLIC AFFAIRS COMMITTEE OF,true,2018|2019|2020|2021|2022|2023|2024,true
237049738,ent_000022,JPMorgan Chase,https://thedonormap.org/Donors%20&%20Power%20Networks/Wall%20Street/JPMorgan,content/Donors & Power Networks/Wall Street/JPMorgan.md,JPMORGAN CHASE FOUNDATION,true,2018|2019|2020|2021|2022|2023|2024,true
387169824,ent_001487,K&L Gates,https://thedonormap.org/Lobbying%20Firms%20&%20K%20Street/K&L%20Gates,content/Lobbying Firms & K Street/K&L Gates.md,K&amp;L GATES LLP VOLUNTARY EMPLOYEES BENEFICIARY ASSOCIATION,true,2020|2021|2022|2023|2024,true
943382057,ent_000285,Kaiser Permanente,https://thedonormap.org/Donors%20&%20Power%20Networks/Healthcare/Kaiser%20Permanente,content/Donors & Power Networks/Healthcare/Kaiser Permanente.md,KAISER PERMANENTE LABOR MANAGEMENT,true,2018|2019|2020|2022|2023|2024,true
367285069,ent_000183,Kelcy Warren,https://thedonormap.org/Donors%20&%20Power%20Networks/Mega-Donors/Kelcy%20Warren,content/Donors & Power Networks/Mega-Donors/Kelcy Warren.md,,false,,true
